"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"1600000US0103076","Auburn city, Alabama","23305","1912","19.8","5.2","4.5","2.3","11.8","3.5","8.2","3.1","7.3","2.9","9.2","3.0","12.0","3.5","12.9","3.1","6.1","2.1","8.3","3.4","46436","11681","81370","11570","27.2","(X)","(X)","(X)","(X)","(X)","13069","1358","N","N","10236","1706","3.5","3.2","N","N","40.5","10.9","1.8","1.8","N","N","7.9","4.5","6.5","3.3","N","N","18.6","7.4","6.6","4.2","N","N","10.2","4.7","8.1","4.2","N","N","6.2","3.8","10.3","3.7","N","N","7.8","4.8","18.4","6.1","N","N","3.9","2.9","21.1","5.3","N","N","2.6","2.3","10.0","3.8","N","N","1.1","1.0","13.8","5.7","N","N","1.4","1.7","91368","9045","101195","11100","16061","6259","120650","18096","N","N","31219","11070","(X)","(X)","(X)","(X)","(X)","(X)","26.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","27.7","(X)",
"1600000US0107000","Birmingham city, Alabama","87831","3181","13.8","2.0","9.0","1.5","14.3","2.0","11.8","1.8","12.5","2.0","15.4","2.0","10.4","2.2","8.5","1.7","1.8","0.7","2.5","0.7","36395","2885","52807","3132","43.1","(X)","(X)","(X)","(X)","(X)","44755","2490","22252","2227","43076","3475","8.5","2.1","1.9","1.4","19.5","3.2","4.5","1.5","0.6","0.8","13.7","2.6","9.8","2.5","4.5","2.7","19.5","3.1","11.8","2.7","7.3","3.4","12.2","2.5","15.0","2.9","12.4","3.7","10.4","2.5","17.6","3.4","18.3","5.2","12.8","2.6","13.1","3.3","22.5","6.3","6.8","2.2","13.6","2.8","22.3","4.5","2.5","1.0","2.3","1.0","3.1","1.7","1.3","0.8","3.8","1.4","7.0","2.5","1.2","0.6","50376","4375","78717","5338","23273","2207","67189","5662","N","N","36697","2621","(X)","(X)","(X)","(X)","(X)","(X)","47.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.2","(X)",
"1600000US0121184","Dothan city, Alabama","26031","933","8.8","1.5","6.3","1.3","10.5","1.5","10.3","1.7","14.8","2.1","16.9","1.6","9.8","1.6","14.2","2.1","4.5","0.7","3.8","0.8","49160","3142","70449","3903","44.0","(X)","(X)","(X)","(X)","(X)","16182","717","11179","699","9849","802","5.0","1.4","1.2","0.7","16.0","2.9","3.3","1.3","1.1","1.2","11.0","2.8","7.0","1.9","3.2","1.6","17.3","2.5","9.0","1.9","7.1","1.8","12.7","2.7","14.8","2.6","11.5","2.5","15.0","2.8","18.7","2.3","22.0","3.0","12.4","2.3","12.1","2.2","14.7","2.7","6.4","1.8","18.0","2.5","22.9","3.5","7.4","3.7","6.7","1.1","9.2","1.5","0.7","0.6","5.2","1.1","7.1","1.6","1.1","0.8","65719","3773","80159","5247","28987","3685","86502","5554","N","N","41865","3960","(X)","(X)","(X)","(X)","(X)","(X)","46.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.3","(X)",
"1600000US0135896","Hoover city, Alabama","31770","1447","3.7","1.9","3.8","2.1","5.4","2.2","6.9","2.2","9.6","2.8","12.8","2.9","13.5","2.9","19.3","3.0","12.3","2.7","12.6","2.9","87355","6686","115947","10412","31.1","(X)","(X)","(X)","(X)","(X)","23072","1020","N","N","8698","1387","2.1","1.8","N","N","7.8","5.6","1.6","1.7","N","N","9.6","4.8","4.5","2.5","N","N","8.2","4.3","5.6","2.5","N","N","12.4","5.5","7.6","3.1","N","N","15.0","6.6","10.5","3.1","N","N","17.4","6.7","14.9","3.7","N","N","10.4","5.2","22.8","3.8","N","N","9.7","5.2","14.5","3.2","N","N","5.6","4.3","16.0","3.9","N","N","3.9","2.8","103236","8986","120813","19777","46111","9629","135991","12651","N","N","61087","8383","(X)","(X)","(X)","(X)","(X)","(X)","33.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.9","(X)",
"1600000US0137000","Huntsville city, Alabama","84848","2592","7.6","1.5","6.7","1.5","9.5","1.9","8.3","1.8","14.2","2.5","17.6","2.2","10.4","1.8","12.5","1.8","5.5","1.2","7.6","1.4","55405","3845","79715","3888","28.2","(X)","(X)","(X)","(X)","(X)","50760","2829","34463","2729","34088","3012","4.5","1.9","0.6","0.8","14.7","3.2","4.1","1.5","2.0","1.1","11.6","3.0","7.4","1.9","3.4","1.7","13.3","3.4","6.4","1.6","4.4","2.0","9.5","2.7","11.5","2.6","10.0","2.7","16.7","3.9","18.4","2.9","19.3","3.3","16.2","3.2","12.8","2.8","13.8","2.9","6.9","2.2","15.8","2.6","20.1","3.5","7.3","2.3","7.5","1.7","9.8","2.2","2.2","1.1","11.6","2.3","16.6","3.3","1.6","1.1","71939","3276","93532","5881","35503","3015","98986","5891","N","N","49045","4506","(X)","(X)","(X)","(X)","(X)","(X)","31.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.6","(X)",
"1600000US0150000","Mobile city, Alabama","79748","2762","11.7","2.1","9.1","1.5","13.8","2.1","10.8","2.1","14.5","2.2","15.0","2.2","10.9","1.6","8.3","1.7","2.6","0.7","3.3","0.9","38643","3005","59152","4473","38.6","(X)","(X)","(X)","(X)","(X)","41444","2019","23483","1886","38304","3007","6.4","2.1","1.2","0.8","17.7","3.4","5.6","1.8","1.7","1.1","13.0","2.7","12.0","2.7","5.7","2.3","17.1","3.3","10.5","2.6","7.6","3.2","10.7","2.9","13.5","2.5","12.7","3.0","16.0","3.3","19.0","2.9","22.7","4.6","9.8","2.4","12.7","2.2","16.5","3.7","8.4","2.5","11.2","2.4","16.5","3.8","5.0","2.0","4.2","1.3","6.6","2.1","1.0","0.6","5.0","1.4","8.7","2.5","1.4","1.0","52514","4372","73134","5887","26244","2628","73628","6619","100772","11235","42529","6440","(X)","(X)","(X)","(X)","(X)","(X)","37.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.3","(X)",
"1600000US0151000","Montgomery city, Alabama","77024","2423","10.0","1.6","5.7","1.3","13.0","2.1","8.7","1.7","13.5","2.2","17.0","2.5","12.5","2.1","11.0","1.6","4.7","1.2","4.0","0.8","49070","2519","71748","4557","36.4","(X)","(X)","(X)","(X)","(X)","46722","2536","26269","2453","30302","2916","8.6","2.3","1.7","1.2","14.8","3.4","3.0","1.4","2.2","1.6","10.0","2.6","10.7","2.5","4.1","1.7","16.8","3.7","7.3","2.4","5.9","2.4","10.0","2.4","13.9","2.9","7.7","2.9","13.2","3.2","15.7","2.9","18.5","4.3","19.1","4.2","14.5","2.6","18.7","4.3","7.1","2.6","15.0","2.4","23.0","3.5","4.8","1.7","5.9","1.7","9.5","2.6","2.0","1.2","5.3","1.4","8.6","2.2","2.0","0.7","59617","6802","89766","7241","32945","4747","83781","6553","N","N","50621","5283","(X)","(X)","(X)","(X)","(X)","(X)","38.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.9","(X)",
"1600000US0177256","Tuscaloosa city, Alabama","36759","2281","16.5","3.6","5.6","2.1","10.6","2.7","9.8","3.0","12.2","3.4","14.5","2.9","8.5","2.6","12.3","3.2","4.5","1.6","5.5","1.6","43468","6476","69388","6893","45.6","(X)","(X)","(X)","(X)","(X)","20105","1784","N","N","16654","2474","8.2","4.0","N","N","26.6","5.7","2.9","2.3","N","N","9.8","4.1","7.3","3.6","N","N","14.2","4.4","10.1","4.9","N","N","9.2","3.3","10.2","4.6","N","N","15.0","5.5","15.5","4.7","N","N","15.3","5.3","13.7","4.7","N","N","2.1","1.6","16.3","4.5","N","N","5.5","3.9","7.1","2.9","N","N","1.0","1.0","8.7","2.8","N","N","1.3","1.0","66244","8167","90291","10453","24753","3250","92621","11825","N","N","38541","6369","(X)","(X)","(X)","(X)","(X)","(X)","48.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","42.3","(X)",
"1600000US0203000","Anchorage municipality, Alaska","105285","2132","3.2","0.8","2.4","0.8","5.2","1.1","5.1","1.1","9.9","1.4","19.6","2.2","13.9","1.7","19.5","2.3","9.8","1.5","11.3","1.6","83648","5039","106660","4553","30.3","(X)","(X)","(X)","(X)","(X)","69667","2852","53505","2756","35618","2751","1.7","0.9","0.4","0.4","7.4","2.1","1.9","0.9","0.8","0.6","3.9","1.6","3.3","1.1","2.3","1.0","9.2","2.3","4.2","1.5","2.8","1.3","8.9","2.3","8.2","1.8","5.8","1.5","14.3","2.6","17.0","2.8","15.3","3.3","25.3","4.4","13.8","2.1","13.1","2.2","13.2","3.6","22.9","2.7","27.1","3.4","9.3","2.4","12.5","2.2","15.2","2.7","4.3","1.6","14.4","2.1","17.2","2.7","4.3","1.6","99797","5098","113475","6404","53789","4170","122823","5929","136538","7523","68678","5966","(X)","(X)","(X)","(X)","(X)","(X)","31.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.5","(X)",
